first_name,last_name,date_of_birth,incident_severity,num_vehicles_involved,num_injuries,num_witnesses,police_report_available,injury_claim,vehicle_claim,incident_hour,customer_age,policy_deductable,policy_annual_premium,num_claims_past_year,EVENT_LABEL,EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,policy_id,incident_type,LABEL_TIMESTAMP
Rickey,Robinson,10/7/1956,6,1,3,3,0,6778,2673,12,47,805,2526,4,fraud,2022-10-15T08:42:19Z,668c6044-4949-47f1-abf0-02473c981950,customer,c016-95635874,668c6044-4949-47f1-abf0-02473c981950,collision,2023-03-06T15:05:50Z
Vicki,Potter,12/25/2004,6,2,8,2,0,8157,3755,7,54,453,2113,4,fraud,2022-10-14T01:12:46Z,b87739df-f6f6-4d56-8c9d-065ccb91d625,customer,d736-69802787,b87739df-f6f6-4d56-8c9d-065ccb91d625,collision,2023-03-06T15:05:50Z
Bryce,Shields,3/19/1961,5,2,3,2,0,6703,4447,6,38,690,2681,5,fraud,2022-08-11T23:04:56Z,d70505bd-b4ff-4920-9f38-fc767e20105f,customer,a275-26655772,d70505bd-b4ff-4920-9f38-fc767e20105f,collision,2023-03-06T15:05:50Z
Terrance,Gould,11/30/2015,4,2,3,1,0,8118,2771,6,43,588,2772,6,fraud,2023-01-16T17:07:30Z,2a486c28-d4d2-47b9-b14d-fb70d470b44a,customer,d608-68006024,2a486c28-d4d2-47b9-b14d-fb70d470b44a,breakin,2023-03-06T15:05:50Z
Oscar,Herman,1/23/1977,6,1,7,2,0,6202,3999,16,52,163,4067,3,fraud,2022-09-14T20:24:24Z,90a9fb53-67ac-4457-9138-6702dda0e5be,customer,a307-85988254,90a9fb53-67ac-4457-9138-6702dda0e5be,collision,2023-03-06T15:05:50Z
Mario,Payne,2/3/1920,4,2,2,2,0,7787,2619,8,45,744,2692,4,fraud,2022-06-13T02:42:40Z,14c2d7d6-e53b-411e-93c9-3ac5facbdb12,customer,a816-15401219,14c2d7d6-e53b-411e-93c9-3ac5facbdb12,collision,2023-03-06T15:05:50Z
Eduardo,Conrad,3/2/1917,5,2,2,1,0,12048,2620,5,44,558,2867,3,fraud,2022-04-02T04:43:48Z,04bcd1c0-6b69-4262-83c1-75b6e74d2036,customer,d179-02919399,04bcd1c0-6b69-4262-83c1-75b6e74d2036,collision,2023-03-06T15:05:50Z
Joe,Hendrix,10/21/1931,4,2,4,2,0,5508,3690,11,46,609,2630,6,fraud,2022-07-24T00:58:08Z,873569a4-e194-4451-a602-ba88053331ed,customer,d700-91867693,873569a4-e194-4451-a602-ba88053331ed,theft,2023-03-06T15:05:50Z
Logan,Fisher,5/28/1980,5,2,2,1,0,8769,3932,4,43,466,2314,4,fraud,2022-04-17T13:31:08Z,ea8e0fcb-376c-408a-83de-c928f526c0c8,customer,b385-05602185,ea8e0fcb-376c-408a-83de-c928f526c0c8,theft,2023-03-06T15:05:50Z
Michelle,Parker,8/9/1995,6,2,6,3,0,8836,3390,7,41,583,2646,3,fraud,2022-10-12T22:21:52Z,c76dea8b-bb80-44e3-a975-e163e306c172,customer,b627-43479559,c76dea8b-bb80-44e3-a975-e163e306c172,collision,2023-03-06T15:05:50Z
Kristine,Odonnell,5/3/1950,7,1,5,2,0,7648,2917,13,52,359,2767,4,fraud,2023-01-21T14:59:28Z,e88ac126-5c88-40da-9f89-b67e82becfca,customer,c993-84984672,e88ac126-5c88-40da-9f89-b67e82becfca,breakin,2023-03-06T15:05:50Z
Ellen,Neal,4/3/1955,8,1,7,2,0,8967,3083,9,45,393,2614,5,fraud,2023-01-20T14:49:25Z,bd1aed15-56d0-4b14-a1c5-70c04ea565d1,customer,d516-78342001,bd1aed15-56d0-4b14-a1c5-70c04ea565d1,collision,2023-03-06T15:05:50Z
Paula,Stafford,6/12/1925,5,2,3,2,0,8648,2166,7,40,697,2556,4,fraud,2023-01-12T13:06:56Z,b7d9be90-107d-47d9-ab0f-290559b16c67,customer,c275-50375243,b7d9be90-107d-47d9-ab0f-290559b16c67,breakin,2023-03-06T15:05:50Z
Marco,Levine,10/20/1970,5,2,4,2,0,6583,3245,12,39,648,2651,6,fraud,2022-10-12T20:46:29Z,9fa7dfe1-a351-4a33-9cd5-e199b8573437,customer,b360-46521164,9fa7dfe1-a351-4a33-9cd5-e199b8573437,breakin,2023-03-06T15:05:50Z
Reginald,Garrett,9/25/2008,3,2,5,2,0,5373,3181,9,42,502,2883,5,fraud,2023-01-13T08:48:20Z,cb7319ad-3375-40b3-b368-e1ab8050e528,customer,a905-86258253,cb7319ad-3375-40b3-b368-e1ab8050e528,theft,2023-03-06T15:05:50Z
Mariah,Richard,12/17/1939,6,2,6,3,0,9125,3830,12,45,241,2901,1,fraud,2022-09-19T19:52:34Z,4f2b4963-10ef-430f-b340-7c355c3f60e7,customer,b004-51479775,4f2b4963-10ef-430f-b340-7c355c3f60e7,theft,2023-03-06T15:05:50Z
Kurt,Riggs,7/7/2019,4,2,4,2,0,6519,3628,9,47,480,2797,6,fraud,2023-02-22T14:35:27Z,f5a9210c-5670-4f8b-b4c0-ded68dc1ff9d,customer,c860-43583294,f5a9210c-5670-4f8b-b4c0-ded68dc1ff9d,theft,2023-03-06T15:05:50Z
Andrea,Jacobson,10/11/1913,6,1,5,3,0,8495,3867,13,39,313,3472,2,fraud,2023-02-24T00:59:05Z,f4c314cd-cf9d-44ac-86e3-0b52ebad9c11,customer,a872-35237608,f4c314cd-cf9d-44ac-86e3-0b52ebad9c11,collision,2023-03-06T15:05:50Z
Kendra,Alvarado,10/6/1916,8,2,6,3,0,10227,2818,11,51,484,2001,5,fraud,2022-12-17T11:45:18Z,f0c2d0e8-8f09-40b2-9e91-288f6521ae99,customer,b503-70188576,f0c2d0e8-8f09-40b2-9e91-288f6521ae99,theft,2023-03-06T15:05:50Z
Kara,Hutchinson,12/28/1974,6,2,6,3,0,6154,3944,14,51,252,2961,2,fraud,2022-03-07T20:29:04Z,9810a48e-d0e5-4249-a0f7-1c2822d294ea,customer,c607-72698717,9810a48e-d0e5-4249-a0f7-1c2822d294ea,breakin,2023-03-06T15:05:50Z
Judith,Zavala,3/11/2019,7,2,7,3,0,7686,5430,13,43,462,3220,3,fraud,2022-04-14T15:10:44Z,66bc81ed-9406-4a66-bdab-d43b0b4f7bf8,customer,d568-30766278,66bc81ed-9406-4a66-bdab-d43b0b4f7bf8,theft,2023-03-06T15:05:50Z
Vanessa,Fry,12/12/1976,6,2,5,3,0,9768,2328,16,54,132,2921,3,fraud,2022-09-15T07:09:22Z,522da069-1e1b-400f-b2f6-f37d9e9d66e0,customer,b253-76581200,522da069-1e1b-400f-b2f6-f37d9e9d66e0,breakin,2023-03-06T15:05:50Z
Kurt,Cuevas,2/3/1997,5,2,5,2,0,4548,5258,10,34,544,2701,5,fraud,2022-07-21T13:17:36Z,08950c8a-4952-49ee-84bd-45f9b5da2b6c,customer,a015-44450217,08950c8a-4952-49ee-84bd-45f9b5da2b6c,breakin,2023-03-06T15:05:50Z
April,Harding,4/20/1942,7,2,6,3,0,8892,3171,11,53,414,1594,3,fraud,2022-11-10T15:41:37Z,dde27bd2-bc54-43df-aeb7-2d67970a7673,customer,c458-88853952,dde27bd2-bc54-43df-aeb7-2d67970a7673,theft,2023-03-06T15:05:50Z
Vernon,Cuevas,11/30/1993,7,2,4,3,0,6422,2797,13,37,248,2936,3,fraud,2023-02-23T23:47:59Z,30a82542-6fb2-47bc-91ad-831d4fc49678,customer,b549-02878700,30a82542-6fb2-47bc-91ad-831d4fc49678,breakin,2023-03-06T15:05:50Z
Kevin,George,6/30/2005,8,2,7,3,0,7834,3019,13,49,409,3081,4,fraud,2022-03-24T03:37:12Z,eff498d0-8e6a-4c20-b0b2-d693b2e46429,customer,d992-08069922,eff498d0-8e6a-4c20-b0b2-d693b2e46429,theft,2023-03-06T15:05:50Z
Gina,Dalton,2/3/1971,4,2,4,2,0,7224,3856,9,39,652,2202,6,fraud,2022-06-10T23:24:22Z,69758df2-3640-4560-a6a6-d4327f4eefe5,customer,b083-04319499,69758df2-3640-4560-a6a6-d4327f4eefe5,collision,2023-03-06T15:05:50Z
Dennis,Pena,1/25/1944,4,2,5,2,0,6397,2602,11,43,529,3346,3,fraud,2023-01-02T22:18:38Z,8fee237f-593d-4185-804c-797f13a41608,customer,a949-40341031,8fee237f-593d-4185-804c-797f13a41608,theft,2023-03-06T15:05:50Z
Joe,Gibbs,7/29/1906,7,2,5,2,0,7736,2380,12,40,359,2853,4,fraud,2022-10-29T05:54:05Z,2560ad1b-17f7-429c-a885-b53571b275c2,customer,c068-82980800,2560ad1b-17f7-429c-a885-b53571b275c2,collision,2023-03-06T15:05:50Z
Christine,Flynn,11/22/2000,6,3,8,3,0,6941,6163,13,46,563,2570,3,fraud,2022-07-25T14:32:38Z,f82d261a-2c92-449c-9a14-075642d92405,customer,a514-21148071,f82d261a-2c92-449c-9a14-075642d92405,collision,2023-03-06T15:05:50Z
